a b c
0.438377112150192 0.424470594317099 0.862847706467291
0.365126145537943 0.357067127180943 0.722193272718886
0.447323448257521 0.432553885697818 0.879877333955339
0.215788189088926 0.214117404084911 0.429905593173837
0.762189436005428 0.690506774685997 1.45269621069143
0.726944739697501 0.664589824292396 1.3915345639899
0.401059031486511 0.390393556344364 0.791452587830875
0.129084451589733 0.128726265499512 0.257810717089246
0.28995634871535 0.285910396256243 0.575866744971593
0.83485771715641 0.741201007155028 1.57605872431144
