a b c
0.206774415448308 0.205304099458278 0.412078514906586
0.114880186039954 0.114627665007335 0.229507851047289
0.426140369381756 0.413359434095234 0.839499803476989
0.140810168581083 0.14034531064892 0.281155479230003
0.530082387151197 0.505604423705649 1.03568681085685
0.593272924888879 0.559077644609812 1.15235056949869
0.798298410139978 0.716169543880527 1.5144679540205
0.624303590971977 0.584532369066444 1.20883596003842
0.381924129789695 0.372706652975689 0.754630782765384
0.182316264603287 0.181307933454971 0.363624198058258
