T,w,int
50,-10,-0.013017551274970167
50,-9.9,0.010563321514055148
50,-9.8,0.017160976454615628
50,-9.7,-0.017935508117079665
50,-9.6,-0.01794174959883079
50,-9.5,-0.011693647513165761
50,-9.4,0.004787074299529834
50,-9.3,-0.005880712000651838
50,-9.2,-0.015054477406663018
50,-9.1,0.010690046772366187
50,-9,0.0042619109992045765
50,-8.9,-0.004457842437528968
50,-8.8,0.0062597875390625266
50,-8.7,-0.006573240104979797
50,-8.6,-0.006737930895599497
50,-8.5,-0.0057595029935858045
50,-8.4,0.010374213383196535
50,-8.3,-0.012240313737454928
50,-8.2,-0.01996353409971502
50,-8.1,0.018871422376739628
50,-8,0.003907014688414952
50,-7.9,0.012263138447525641
50,-7.8,0.01929859500071222
50,-7.699999999999999,-0.008193492704605454
50,-7.6,-0.007791906476809784
50,-7.5,-0.019186787860794897
50,-7.4,-0.013792938659105957
50,-7.3,0.017145576304887635
50,-7.199999999999999,-0.01640785376849456
50,-7.1,-0.005307614164074277
50,-7,0.01828434323908546
50,-6.9,0.016836502019443395
50,-6.8,0.016628951378479563
50,-6.699999999999999,0.010469208170815474
50,-6.6,-0.003220428217583062
50,-6.5,0.006338144099084099
50,-6.4,0.007060802001124519
50,-6.3,-3.4000836687953266e-4
50,-6.199999999999999,-0.007653987291666932
50,-6.1,-0.01851466726122738
50,-6,0.016078690297368192
50,-5.8999999999999995,-0.012021078612513432
50,-5.8,-0.018591715574310805
50,-5.7,-0.008089617160878398
50,-5.6,9.731786362622779e-4
50,-5.5,0.004058377729278401
50,-5.3999999999999995,0.018385386600731614
50,-5.3,0.019124048251913876
50,-5.199999999999999,-0.01779509084595344
50,-5.1,-0.014347344993192455
50,-5,0.007531690489837426
50,-4.8999999999999995,0.010402994921063809
50,-4.8,-0.019877093119657244
50,-4.699999999999999,-0.003032550405110708
50,-4.6,-0.006754476180108203
50,-4.5,0.005365007110983495
50,-4.3999999999999995,0.015787550997282997
50,-4.3,-0.0031057282016041664
50,-4.199999999999999,-0.009141675448504687
50,-4.1,-0.014249916829711804
50,-4,0.017237059256895115
50,-3.8999999999999995,0.00829343132330852
50,-3.8,0.015204530285570065
50,-3.6999999999999993,0.021166021237436234
50,-3.5999999999999996,0.01042192117664899
50,-3.5,0.00974097631094574
