x,y,z
0.03527932451106608,0.03527200667786413,0.0705513311889302
0.6051084448117763,0.5688512689994887,1.173959713811265
0.024728490272536874,0.024725970111581657,0.049454460384118534
0.47338595567271113,0.4559024942145342,0.9292884498872453
0.2687134586740285,0.26549128519855714,0.5342047438725857
0.46198884467594326,0.44572933701095563,0.9077181816868989
0.5227752577047795,0.4992866431189323,1.0220619008237117
0.21860026475042105,0.2168634116830079,0.435463676433429
0.3519207574427128,0.3447014809478779,0.6966222383905907
0.33799433428794146,0.33159557194280437,0.6695899062307458
