w,int
-10,0.015567009405712982
-9.9,0.003960927118527401
-9.8,-0.00991656204433802
-9.7,0.0013237785285117208
-9.6,3.0411700357796715e-4
-9.5,-7.509181751012595e-5
-9.4,0.01851258308048323
-9.3,0.008255781766714492
-9.2,0.008176063490950907
-9.1,0.01206862787630693
-9,-0.01527355778755694
-8.9,0.01670814107921373
-8.8,-0.009139610398701462
-8.7,0.013281899685319593
-8.6,0.00900228559687402
-8.5,0.011996061857512957
-8.4,-0.012038418054438779
-8.3,-0.008878796274695743
-8.2,-3.1330683920738215e-4
-8.1,0.00522742211325569
-8,0.012247958048511863
-7.9,0.0036325208801488134
-7.8,-0.0013153729100672607
-7.699999999999999,-0.017849560945229048
-7.6,0.007341025997648071
-7.5,-0.012920138628668126
-7.4,-0.0018832489381631079
-7.3,-0.005412882694520902
-7.199999999999999,0.0013639220138871593
-7.1,-0.01798747542820663
-7,0.015405832151450725
-6.9,-0.015580283833374736
-6.8,-0.005773511515131391
-6.699999999999999,0.015344365247295131
-6.6,0.0012982830517412477
-6.5,-0.013582108659902318
-6.4,-0.012246405634284158
-6.3,-0.006008430969131764
-6.199999999999999,-0.008844935235058426
-6.1,0.004563745269075299
-6,-0.005958014639490847
-5.8999999999999995,0.015475607346553752
-5.8,0.0023848191883424465
-5.7,0.02251914077067675
-5.6,0.005840321143543157
-5.5,9.91264746912095e-4
-5.3999999999999995,0.0014677268365136413
-5.3,0.025590161139087755
-5.199999999999999,0.00402444754225581
-5.1,0.009956119139662531
-5,0.02071566172891556
-4.8999999999999995,0.029680377973732797
-4.8,0.006134275978740137
-4.699999999999999,0.03435687989257306
-4.6,0.01954989677257247
-4.5,0.019536572034038486
-4.3999999999999995,0.021970989022239557
-4.3,0.010858331275639753
-4.199999999999999,0.03429001686792526
-4.1,0.03294699082704615
-4,0.01721786144744965
-3.8999999999999995,0.032828727158676754
-3.8,0.054538155044627806
-3.6999999999999993,0.05666274752229519
-3.5999999999999996,0.032512965184012844
-3.5,0.06050404888977502
-3.3999999999999995,0.03186668211804526
-3.3,0.05301230024662417
-3.1999999999999993,0.061064297483667596
-3.0999999999999996,0.06696612440094446
-3,0.06539719633582301
-2.8999999999999995,0.09273755089164605
-2.8,0.07154430974676948
-2.6999999999999993,0.0651395219762566
-2.5999999999999996,0.07468188912293633
-2.5,0.1106742208132756
-2.3999999999999995,0.08647363070154805
-2.3,0.08738004975055623
-2.1999999999999993,0.09226246261817132
-2.0999999999999996,0.09758828257216981
-2,0.13009803907803327
-1.9000000000000004,0.12974393112126142
-1.799999999999999,0.11236972379650471
-1.6999999999999993,0.14262878237999294
-1.5999999999999996,0.15843229529063457
-1.5,0.15556046897776846
-1.4000000000000004,0.16291349151676948
-1.299999999999999,0.16036664566491954
-1.1999999999999993,0.14225359221868272
-1.0999999999999996,0.16851567548130442
-1,0.18578915065708768
-0.9000000000000004,0.16699979648011704
-0.7999999999999989,0.19577181304305197
-0.6999999999999993,0.1653603050534505
-0.5999999999999996,0.1923829880469641
-0.5,0.20391595036877316
-0.3999999999999986,0.17017223265499248
-0.29999999999999893,0.20177307978543263
-0.1999999999999993,0.19506482948706347
-0.09999999999999964,0.19153691550869148
0,0.17351622454894564
0.10000000000000142,0.19712576914731067
0.20000000000000107,0.18863324194372494
0.3000000000000007,0.20209086203287163
0.40000000000000036,0.18854242735088242
0.5,0.18747904727390033
0.6000000000000014,0.19797358814824126
0.7000000000000011,0.16734225414254547
0.8000000000000007,0.1876862538742214
0.9000000000000004,0.18625497658754667
1,0.17664389847400797
1.1000000000000014,0.18441850698915102
1.200000000000001,0.16774072810024068
1.3000000000000007,0.1486602609651278
1.4000000000000004,0.14118026293388064
1.5,0.13505564597666686
1.6000000000000014,0.14076656010548813
1.700000000000001,0.13377069720774198
1.8000000000000007,0.12831645487028645
1.9000000000000004,0.12225803415763528
2,0.13627217518023282
2.1000000000000014,0.1261859326903419
2.200000000000001,0.12646859650348027
2.3000000000000007,0.08932607152533989
2.4000000000000004,0.1066580410463573
2.5,0.09954533034546796
2.6000000000000014,0.09283512145898053
2.700000000000001,0.09454240554130987
2.8000000000000007,0.07133227656066159
2.9000000000000004,0.08301412078336702
3,0.07422638785849578
3.1000000000000014,0.05049001209482634
3.200000000000001,0.055958314660370136
3.3000000000000007,0.045231491514710565
3.4000000000000004,0.04758249988058402
3.5,0.05965826090824995
3.6000000000000014,0.05966313091137482
3.700000000000001,0.03558996970526935
3.8000000000000007,0.027689084685606366
3.9000000000000004,0.04682156367130197
4,0.026782801231335727
4.100000000000001,0.012874648762814467
4.200000000000001,0.035676967629005005
4.300000000000001,0.01631614220282217
4.4,0.017168239818721506
4.5,0.01706859397751826
4.600000000000001,0.010813787206628948
4.700000000000001,0.024436867388710655
4.800000000000001,0.00551141025343147
4.9,0.01863897199977679
5,0.004840036435213673
5.100000000000001,6.493180570961293e-4
5.200000000000001,-0.007501392062181559
5.300000000000001,0.02559738628374226
5.4,0.001296377257045264
5.5,0.010704614564232802
5.600000000000001,0.004507209106733826
5.700000000000001,0.0246203137897134
5.800000000000001,0.007961201318726886
5.9,-0.007105924524556451
6,-0.010016841140040759
6.100000000000001,0.015076112327620645
6.199999999999999,0.00767929384256387
6.300000000000001,0.018641282126145783
6.400000000000002,-0.010329572943225646
