a b c
0.644784635165706 0.601026326584083 1.24581096174979
0.912225555861369 0.79086770876828 1.70309326462965
0.20353513979353 0.202132754533028 0.405667894326558
0.23864955524914 0.236390671807159 0.475040227056298
0.221202522516251 0.219403003667817 0.440605526184068
0.224222900113091 0.22234878245242 0.446571682565511
0.290519216097891 0.286449722184087 0.576968938281979
0.503685992211103 0.482657036903964 0.986343029115068
0.0214967620559037 0.0214951064465817 0.0429918685024853
0.459091725526378 0.443134062346631 0.902225787873008
